Id,StartTime,Iterations,CongestionParam,FromX,FromY,FromZ,ToX,ToY,ToZ,Fundamental,Sigma,MinDistance,Distance
0,0,1,2,4,7,0,6,6,0,70.85475317576189,0.14735269940844936,3,1
1,0,1,2,6,3,0,6,8,0,55.730130409733675,0.07765932218191816,5,-1
2,0,1,2,8,0,0,1,9,0,52.69037002974647,0.13076555307578455,16,-1
3,0,1,2,7,2,0,7,0,0,125.156114686639,0.17649224798814933,2,2
4,0,1,2,3,1,0,1,4,0,104.72843057675888,0.16854546703620735,5,5
5,0,1,2,9,7,0,5,9,0,55.80362411962151,0.0867747425103467,6,1
6,0,1,2,2,9,0,3,2,0,137.11745054739174,0.08686756421094288,8,3
7,0,1,2,4,0,0,9,1,0,111.54471574957243,0.04212090737805505,6,6
8,0,1,2,9,6,0,4,0,0,118.25226213867579,0.09039439349505729,11,9
9,0,1,2,6,8,0,2,8,0,57.05839761010499,0.16791813158988667,4,2
10,0,1,2,0,8,0,8,2,0,78.12992366985964,0.07064734777442043,14,8
11,0,1,2,8,4,0,5,4,0,149.00382356081758,0.01176728485760682,3,3
12,0,1,2,5,5,0,3,6,0,109.89252752697686,0.12400798047964812,3,2
13,0,1,2,3,7,0,3,3,0,57.83459022582884,0.15747700742908777,4,0
14,0,1,2,7,6,0,0,6,0,120.670146876387,0.028793629560127057,7,5
15,0,1,2,0,5,0,7,7,0,138.47205399763,0.15871341633873035,9,9
16,0,1,2,9,9,0,6,8,0,126.20990213329584,0.16836666814277731,4,4
17,0,1,2,5,6,0,8,8,0,127.46483655887171,0.04119918855026378,5,4
18,0,1,2,6,3,0,0,3,0,95.71983426176608,0.14303902695260093,6,5
19,0,1,2,2,7,0,0,0,0,115.95901340996276,0.04358291523565256,9,7
20,0,1,2,3,6,0,1,8,0,106.62334660030834,0.19259080969766193,4,3
21,0,1,2,5,2,0,0,7,0,128.74411389913706,0.18586312002649666,10,8
22,0,1,2,1,1,0,8,1,0,59.10568760149048,0.16127523584532058,7,3
23,0,1,2,5,9,0,9,9,0,97.78564154881082,0.1765355410151267,4,4
24,0,1,2,5,6,0,1,6,0,76.48871303672136,0.16898502325153467,4,0
25,0,1,2,6,9,0,2,1,0,62.7558480640673,0.09161796456575384,12,9
26,0,1,2,5,6,0,9,3,0,72.8782566248951,0.09604152022393807,7,3
27,0,1,2,9,4,0,1,3,0,148.2484226856991,0.03153221302184397,9,9
28,0,1,2,8,0,0,1,9,0,130.27231736014954,0.16601514150465263,16,15
29,0,1,2,8,9,0,8,8,0,67.39866349276994,0.000571478363442434,1,0
30,0,1,2,9,6,0,4,8,0,125.9019168402208,0.0018490821293389859,7,7
31,0,1,2,8,0,0,7,4,0,114.41350213959316,0.11438185901343167,5,2
32,0,1,2,9,1,0,7,0,0,130.65383023636883,0.129425745081118,3,2
33,0,1,2,0,1,0,5,6,0,141.5145390832459,0.014381267775025464,10,10
34,0,1,2,5,1,0,7,1,0,144.64571025014934,0.061093110598568194,2,2
35,0,1,2,1,2,0,7,3,0,102.58958289653083,0.1599741684929842,7,5
36,0,1,2,8,2,0,7,5,0,74.98730978696724,0.07872943103479019,4,2
37,0,1,2,8,3,0,1,2,0,144.60635593111886,0.03519374630391131,8,8
38,0,1,2,6,1,0,9,3,0,131.70998544092993,0.10888098891640147,5,3
39,0,1,2,7,0,0,2,0,0,117.6694021741336,0.06325707074086623,5,4
40,0,1,2,2,4,0,0,4,0,70.32300825267987,0.13246473872800316,2,1
