Id,X,Y,Z,Time
0,9,5,0,11
0,9,4,0,10
0,9,3,0,9
0,8,3,0,8
0,7,3,0,7
0,5,3,0,5
0,6,3,0,6
0,4,3,0,4
0,3,3,0,3
0,9,6,0,12
0,2,3,0,2
0,1,3,0,1
1,4,3,0,7
1,4,5,0,5
1,4,4,0,6
1,4,6,0,4
1,3,6,0,3
1,2,6,0,2
1,1,6,0,1
2,7,5,0,11
2,6,5,0,10
2,5,5,0,9
2,4,5,0,8
2,3,5,0,7
2,1,5,0,5
2,2,5,0,6
2,0,5,0,4
2,0,4,0,3
2,8,5,0,12
2,0,3,0,2
2,0,2,0,1
3,2,9,0,8
3,3,9,0,7
3,5,9,0,5
3,4,9,0,6
3,6,9,0,4
3,7,9,0,3
3,8,9,0,2
3,9,9,0,1
4,6,4,0,5
4,7,4,0,4
4,7,5,0,3
4,7,6,0,2
4,7,7,0,1
5,2,1,0,13
5,4,1,0,11
5,5,1,0,10
5,5,2,0,9
5,1,1,0,14
5,5,3,0,8
5,5,4,0,7
5,5,6,0,5
5,5,5,0,6
5,5,7,0,4
5,5,8,0,3
5,3,1,0,12
5,5,9,0,2
6,6,3,0,5
6,6,4,0,6
6,6,2,0,4
6,5,2,0,3
6,4,2,0,2
7,1,2,0,3
7,3,2,0,5
7,2,2,0,4
7,3,3,0,6
7,3,4,0,7
7,3,5,0,8
7,3,6,0,9
7,3,7,0,10
7,3,8,0,11
7,0,2,0,2
7,3,9,0,12
7,4,9,0,13
8,0,9,0,7
8,1,8,0,5
8,0,8,0,6
8,2,8,0,4
8,4,8,0,2
9,7,7,0,8
9,7,8,0,7
9,5,8,0,5
9,6,8,0,6
9,4,8,0,4
9,2,8,0,2
9,3,8,0,3
10,4,8,0,3
10,4,6,0,5
10,4,7,0,4
10,4,5,0,6
10,4,4,0,7
10,4,2,0,9
10,5,2,0,10
10,6,2,0,11
10,7,2,0,12
10,8,2,0,13
10,4,3,0,8
10,9,2,0,14
11,3,9,0,10
11,3,8,0,9
11,3,7,0,8
11,3,6,0,7
11,2,5,0,5
11,3,5,0,6
11,1,5,0,4
11,0,5,0,3
12,8,8,0,3
12,8,6,0,5
12,8,7,0,4
12,8,5,0,6
