TransactionTime,From,To,X,Y,Z,Time,Value
0,NA,0,10,10,0,0,0.8886854648590088
0,NA,1,1,3,0,1,103.75001223624945
0,NA,1,2,3,0,2,105.17251072909535
0,NA,1,3,3,0,3,90.08823019335752
0,NA,1,4,3,0,4,104.56546367030408
0,NA,1,5,3,0,5,89.40006650748128
0,NA,1,6,3,0,6,68.53284539634055
0,NA,1,7,3,0,7,97.31381531533708
0,NA,1,8,3,0,8,104.86665183242444
0,NA,1,9,3,0,9,97.92958676924381
0,NA,1,9,4,0,10,101.95822796418688
0,NA,1,9,5,0,11,98.24639209717768
0,NA,1,9,6,0,12,106.16088769266761
0,NA,2,1,6,0,1,145.3304153488738
0,NA,2,2,6,0,2,111.02822960356669
0,NA,2,3,6,0,3,136.69799242411486
0,NA,2,4,6,0,4,144.73517293065922
0,NA,2,4,5,0,5,127.57486182309657
0,NA,2,4,4,0,6,133.67673787082708
0,NA,2,4,3,0,7,138.44622807831598
0,NA,3,0,2,0,1,108.49686637258276
0,NA,3,0,3,0,2,115.05730853113997
0,NA,3,0,4,0,3,114.28457720744935
0,NA,3,0,5,0,4,106.81153598853798
0,NA,3,1,5,0,5,110.01215846370437
0,NA,3,2,5,0,6,114.44925198590325
0,NA,3,3,5,0,7,108.47221388573163
0,NA,3,4,5,0,8,111.19727008457396
0,NA,3,5,5,0,9,112.95651274238884
0,NA,3,6,5,0,10,114.84501144489155
0,NA,3,7,5,0,11,113.24516154922495
0,NA,3,8,5,0,12,112.23047406562551
0,NA,4,9,9,0,1,58.13000032094567
0,NA,4,8,9,0,2,64.4479048861224
0,NA,4,7,9,0,3,65.00765351772563
0,NA,4,6,9,0,4,60.84278309765657
0,NA,4,5,9,0,5,55.09273028783697
0,NA,4,4,9,0,6,62.561233994478904
0,NA,4,3,9,0,7,61.5323081510184
0,NA,4,2,9,0,8,61.811757565853206
0,NA,5,7,7,0,1,110.89240536981013
0,NA,5,7,6,0,2,108.63177413306498
0,NA,5,7,5,0,3,105.74267925255572
0,NA,5,7,4,0,4,104.8194188298069
0,NA,5,6,4,0,5,110.92033806993824
1,NA,0,10,10,0,1,0.8742831945419312
1,NA,6,5,9,0,2,136.04920026070934
1,NA,6,5,8,0,3,137.42601848179385
1,NA,6,5,7,0,4,144.49705127034454
1,NA,6,5,6,0,5,139.32155671704788
1,NA,6,5,5,0,6,140.74141489432856
1,NA,6,5,4,0,7,137.47599745073168
1,NA,6,5,3,0,8,115.01501499062078
